from,to,distance_m
MainGate,BoysHostel5,1710
MainGate,Hospital,270
Hospital,DesignBlock1,100
Hospital,FoodCourtCC,130
Hospital,GirlsHostel1,320
Hospital,DSW,60
GirlsHostel1,GirlsHostel3A,290
GirlsHostel1,UniMall,140
GirlsHostel1,GirlsHostel2,60
UniMall,MittalSchoolOfBusiness,90
MittalSchoolOfBusiness,AdmissionBlock,250
Block25,AdmissionBlock,290
Block34,AdmissionBlock,175
Block34,Block26,200
Block25,Apartment1,190
Apartment1,Apartment2,50
Apartment1,BoysHostel1,125
BoysHostel1,BH1FoodCourt,50
BH1FoodCourt,BoysHostel2,50
BoysHostel1,BoysHostel2,255
BoysHostel2,BoysHostel3,100
BoysHostel3,BoysHostel4,20
BoysHostel2,BoysHostel5,360
BoysHostel5,BoysHostel6,70
Block25,GirlsHostel5,240
GirlsHostel5,GirlsHostel6,60
GirlsHostel5,LawDepartment,45
Block25,PhysicalBlock,400
MainGate,AgricultureBlock1,1750
Store,Apartment1,90
Apartment1,ApartmentFoodCourt,50
Store,GirlsHostel7,120
GirlsHostel7,AdministrativeBlock,200
AdministrativeBlock,ChancellorOffice,60
AdministrativeBlock,AdmissionBlock,50
AdmissionBlock,LPUOnline,50
LPUOnline,Block33,150
Block33,Block34,60
Block34,Library,60
Library,Block36,60
Block36,Block37,60
Block37,ResearchBlock,60
Block33,Block25,180
Block25,Block26,60
Block26,Block27,60
Block27,Block28,60
Block28,Block29,60
Block25,Auditorium3,150
Auditorium3,Auditorium4,50
Auditorium4,GirlsHostel5,120
GirlsHostel6,LawDepartment,150
LawDepartment,Auditorium1,100
Auditorium1,UniPolyclinic,120
UniPolyclinic,HotelManagement,150
HotelManagement,MittalSchoolOfBusiness,100
DesignBlock1,DesignBlock2,100
DesignBlock2,Pharmacy2,100
Pharmacy2,Pharmacy1,100
Pharmacy1,FashionBlock,150
FashionBlock,MainGate,180
